unique Electoral Area,not unique electoral area,circle code
Chota Sandha // Zahoor Ud Din Road // Dar Street // Zaman Street Sandha // Dar Street Sandha, ,1854403
"Chohan Road // Millat Road Sandha // Itifaq Colony Sandha
Khurd",  / Chohan Road,1854404
Out Fall Road // Farooq Azam Park,  / Out Fall Road,1854501
Islam Pura // Saeed Park Sanat Nagar // Abdali Chowk // Sanat Nagar // Chohan Road // Chohan Park,  / Chohan Park / Chohan Road / Islam Pura,1854502
Chohan Park // Islam Pura // Corporation Colony // Ansari Road // Naseem Park,  / Ansari Road / Chohan Park / Islam Pura,1854503
Bank Road // Islam Pura // Out Fall Road // Chohan Park // Mufti Road Chohan Park,  / Chohan Park / Islam Pura / Out Fall Road,1854504
Umer Farooq Park // Band Road Chohan Park // Rafaiya Abad, ,1854505
"D-Block Gulshan Ravi // Doctor Nazir Road
Gulshan Ravi // Sandha Kalan Gulshan
Ravi // Usman Gunj Sandha
Kalan // Afzal Road Sandha Kalan // Naseer Abad Sandha
Kalan // Bank Colony",  / Afzal Road Sandha Kalan / Bank Colony,1854601
"Dhoop Sarri Sandha
Kalan // Madina Colony // Jamal Road Sandha
Kalan // Ghulam Farid Road",  / Madina Colony,1854602
"Shafi Town Sandha
Kalan // Sandha Kalan // Taj Park - Rajh Garh // Haji Park Rajh Garh",  / Haji Park Rajh Garh,1854603
"Malik Munir Road Shafi
Town // Nasir Park Rajh Garh // Firdos Park Rajh Garh // Chaman Bagh // Ghani Street Rajh Garh // Nand Street - Rajh Garh // Haji Park Rajh Garh",  / Haji Park Rajh Garh,1854604
"Akram Park Sandha
Kalan // Akram Park Sandha Kalan // Nijat Pura Sandha Kalan // Malik Munir Park
Sandha Kalan // Fazal Park Shibli Town // Band Road Shibli Town
T-V // Yousaf Park Shera Kot", ,1854701
"Jalal Colony Sandha
Khurad // Islamia Colony Sandha
Kalan // Tokal Abad Sandha
Kalan // Irfan Colony Sandha
Kalan", ,1854801
"Main Bazar Sandha
Kalan // Afzal Road Sandha Kalan // Remat Ullah Street // Captain Jamal Road
Sandha Kalan // Nasir Street Sandha
Kalan",  / Afzal Road Sandha Kalan,1854802
"Rasheed Street Sandha
Kalan // Zaman Park // Tofal Road // Gulshan Ravi", ,1854803
Bilal Colony // M-A Colony // Bhatiya'n Gulshan Ravi // E-Block Gulshan Ravi,  / Bilal Colony,1854804
"National Town Sandha
Road // National Town Rajh
Garh // Muhammadi Park Rajh
Garh // Chaman Park Rajh Garh", ,1854805
"Sandha Jhangir Town // Sadaqat Park Sandha
Khurad // Sadaqat Park Bazar
Hakiman Wala // Sadaqat Park","  / Sadaqat Park Sandha
Khurad",1854806
"Dilshad Park Sandha
Khurd // Joye Shah Road Sandha
Kalan // Taj Colony Sandha
Khurd // Muslim Pura Sandha
Kalan // Afzal Road Sandha Kalan",  / Afzal Road Sandha Kalan,1854807
"Block-E Gulshan Ravi // Block-C Gulshan Ravi // Block-B Gulshan Ravi // Toheed Park Gulshan
Ravi // Muqdas Park Gulshan
Ravi","  / Toheed Park Gulshan
Ravi",1854901
Taj Park Sham Nagar // New Choburji Park // Sham Nagar G-Block // Choburji Park, ,1854902
"P and T Colony // Gulfisha'n Colony // Toheed Park Gulshan
Ravi","  / Toheed Park Gulshan
Ravi",1854903
Block-J Gulshan Ravi // Block-H Gulshan Ravi // Block-G Gulshan Ravi // Block-F Gulshan Ravi,  / Block-F Gulshan Ravi / Block-G Gulshan Ravi,1855001
"Block-G Gulshan Ravi // Block-F Gulshan Ravi // Firdos Colony Gulshan
Ravi",  / Block-F Gulshan Ravi / Block-G Gulshan Ravi,1855002
"Block-A Gulshan Ravi // Rehman Park // Haji Park Rajh Garh // Manzoor Park Gulshan Ravi // New Shalimar Town
Gulshan Ravi // Rehaman Park",  / Haji Park Rajh Garh,1855003
"WASA Colony Gulshan
Ravi // Gulfisha'n Colony
Gulshan Ravi // Rustam Park // Guldashat Colony",  / Rustam Park,1855101
Urdu Nagar // Rustam Park,  / Rustam Park,1855102
"Shehbaz Colony
Nonaryan // New Shalimar Colony // Milat Park Noryan // Sodiwal Colony // Alamgir Park",  / New Shalimar Colony / Sodiwal Colony,1855103
"Mahajar Abad // Fazal Park / Kareem
Abad // New Shalimar Road
Mahajar Abad", ,1855104
Mahajar Abad Sodiwal // Sodiwal // Sodiwal Colony // Haji Park Sodiwal // Shama Park Sodiwal,  / Haji Park Sodiwal / Sodiwal / Sodiwal Colony,1855201
"Sikandria Colony Band
Road // Haji Park Sodiwal // Sodiwal Multan Road // Badar Colony Sodiwal",  / Haji Park Sodiwal,1855202
"Farooqia Colony
Sodiwal // Tariq Colony Sodiwal // Tariq Colony Umer park", ,1855203
Qadir Pura Sodiwal // Sodiwal // Sodiwal Pind,  / Sodiwal,1855204
"Dholanwal // Madina Market Chowk Yateem Khana // Yasrab Colony Multan
Road",  / Dholanwal,1855301
"Gulnar Colony / Yasrab
Colony // Shah Farid Park Multan
Road // Rasheed Park Multan
Road", ,1855302
"Usman Park Band Road // Dholanwal // Cha Mastay Wala
Dholanwal",  / Dholanwal,1855303
Dholanwal,  / Dholanwal,1855304
"Dholanwal // Muhammadi Park
Dholanwal // Cha Bismillah
Dholanwal",  / Dholanwal,1855305
Ameen Park Sayd Pur // Sayd Pur // Karm Din Park Sayd Pur // Shah Farid Abad // Block-A Sabzazar, ,1855401
Al Falah Park // Rasool Park // Rasool Park Qazi Town // Qazi Town,  / Rasool Park,1855402
Block-H Sabzazar, ,1855403
Block-H-l Sabzazar // Jameel Town Sabzazar, ,1855404
"New Bilal Colony Block-
B Sabzazar // Block-B Sabzazar // Madina Park Block-B
Sabzazar // Kot Muhammadi
Sabzazar",  / Block-B Sabzazar,1855405
"Huma Block Allama
Iqbal town // Muslim Block Allama
Block town","  / Huma Block Allama
Iqbal town",1855406
"Ravi Block Allama Iqbal
Town // Zeenat Block Allama
Block town", ,1855407
Hassan Town // Anwar Town // New Town Kharak // Main Bazar Kharak, ,1855501
"Bhatti Street Kharak // Kharak Nala // Jehlam Street Kharak
Nala // Farooq Azam Colony
Kharak // Madina Colony Kharak",  / Madina Colony Kharak,1855502
"Ahmad Block Awan
Town // Waseen Block Hassan
Town // Miraj Park Hassan Town // Waseem Block Hassan
Town // Haidari Colony Kharak","  / Miraj Park Hassan Town / Waseem Block Hassan
Town",1855503
"Kosar Block Awan Town // Jinnah Block Awan
Town // Madina Block Awan
Town // Ali Block Awan Town // Rizwan Block Awan
Town // Waseem Block Hassan
Town // Miraj Park Hassan Town","  / Miraj Park Hassan Town / Waseem Block Hassan
Town",1855504
"Usman Block, Awan
Town // Kaky Zai Awan Town // Hajwari Town", ,1855505
"Nishtar Park Allama
Iqbal Town // Mehran Block Allama
Iqbal Town // Kamran Block Allama
block town","  / Kamran Block Allama
block town",1855506
"Kamran Block Allama
block town // Nishtar Block Allama
Iqbal Town // Nasir colony , Ghosia
colony","  / Kamran Block Allama
block town",1855507
"Rizwan Park Mohra
Shareef // Rab Rab Colony // Salak Abad Band Road", ,1855601
Rizwan Park // Irfan Park // New Shalimar Colony,  / New Shalimar Colony,1855602
"Ghani Colony Rizwan
Park // Ghani Colony // Ghani Colony Mohra
Shareef",  / Ghani Colony,1855603
"New Shalimar Colony
Nonariyan // Sadiqiya Colony Multan
Road // New Shalimar Colony Gali No.9,10 Sadiqiya
Colony // Jafariya Colony Block A-
C // Gali No.8 New Shalimar
Colony // Jafariya Colony Band
Road Lahore", ,1855604
Babu Sabu Bakar Mandi // Kot Kamboh Kalan // Main Bazar Bakar Mandi,  / Babu Sabu Bakar Mandi,1855701
Babu Sabu Bakar Mandi // Babu Sabu Shera Kot,  / Babu Sabu Bakar Mandi,1855702
"Main Bazar Shera Kot // Al Fatah Chowk Babu
Sabu // Shera Kot Band Road",  / Shera Kot Band Road,1855703
"60-Fit Road Al Mehtab
Park // 60-Fit Road Al Mehtab Shera Kot Band Road // Al Mehtab Park Band
Road // Nagina Colony Shera
Kot", ,1855704
Shaheen Abad Shera Kot, ,1855705
"Qadir Pura Band Road // Ghosia Park Band Road // Al Khayam Road Band
Road", ,1855706
"Mushtaq Town-Aftab
Park Band Road // Gunj Baksh Park Band
Road // Jaggia'n Shahab Din // Amjar Park Bakar Mandi // Kot Kamboh Khurd
Bakar Mandi // Itifaq Colony Bakar
Mandi // Mushtaq Town-Aftab Park Band Road","  / Kot Kamboh Khurd
Bakar Mandi",1855707
Block-D Sabzazar // Bhadro Pind Band Road // Talat Park Babu Sabu, ,1855708
Babu Sabu // Babu Sabu Band Road, ,1855709
"Abu Bakar Sadiq Colony
/ Band Road // Shaheen Abad Band
Road // Shera Kot Band Road // Shera Kot Motorway",  / Shera Kot Band Road,1855710
Block-Q Sabzazar // Block-K Sabzazar, ,1855801
Block-F Sabzazar // Block-G Sabzazar // Block-P Sabzazar, ,1855802
Block-E Sabzazar, ,1855803
Block-L Sabzazar,  / Block-L Sabzazar,1855804
Block-L Sabzazar // Block-N Sabzazar,  / Block-L Sabzazar,1855805
Block-J Sabzazar // Block-L Sabzazar,  / Block-J Sabzazar / Block-L Sabzazar,1855806
Block-M Sabzazar, ,1855807
Block-J Sabzazar // Jaggia'n Naghra,  / Block-J Sabzazar / Jaggia'n Naghra,1855808
Jaggia'n Naghra // Kot Kamboh Band Road,  / Jaggia'n Naghra,1855809
