charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
25911,42989,22274,20709,6,86.86,33.33,4197,3726,,6178,5518,1,4622,4027,,38558,4431,34630,28278,3392,12723,25758,89.03,91.07,11643,10837
25912,103661,54804,48806,51,72.92,56.86,15428,11733,13,10273,9031,12,2878,2905,,93164,10497,79440,62688,5393,33342,52023,76.22,79.16,25867,21089
25913,49141,25304,23803,34,76.82,41.18,6023,5084,7,6492,5984,3,2035,2218,3,30355,18786,38681,31058,3301,13817,27510,78.89,80.91,14510,12470
25914,41667,21585,20075,7,80.75,28.57,5670,4829,,5284,4478,2,1775,1735,,40347,1320,31971,25260,2412,9577,22015,83.92,86.91,11353,9082
25915,58516,30731,27770,15,73.03,66.67,8895,6952,6,6203,5223,1,1632,1507,1,55245,3271,44480,34881,3041,17281,29403,77.17,80.88,15122,11496
25916,271718,143613,128043,62,63.66,35.48,38718,29769,9,22355,17484,6,4622,4184,2,264212,7506,201759,155095,11838,69754,124129,67.65,71.17,47443,33329
25917,75036,38545,36484,7,86.14,42.86,9170,7998,,10221,9817,1,5655,5216,1,72481,2555,58849,47065,5443,20271,42242,87.94,89.67,21217,19015
25918,47856,24618,23231,7,87.14,71.43,5470,4498,1,6773,6287,2,4266,4057,2,47209,647,37795,30437,3498,10992,27433,88.95,90.65,12047,10592
25919,41617,21321,20290,6,79.23,100,5332,4587,2,4726,4197,1,2389,2364,2,35621,5996,31943,25425,2584,10117,22583,82.02,84.68,9915,8339
25920,76758,40195,36552,11,78.32,63.64,11077,8808,2,9454,7837,2,3336,3366,2,71665,5093,59137,47005,4241,25958,40850,81.08,83.55,21014,17820
