,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
47,74.33000099,31.47098222,2591102,11208,6029,5177,2.0,86.34,50.0,1271,1109,,1831,1351,,961,743.0,,10893,315.0,9019,7278,597,3316,6567,89.19,91.62,1754,1556,2089,1977,35.0,77.0,2011,2071,1814.0,2067,2033,2076,5.31
48,74.3197122,31.46596371,2591103,11753,6081,5672,,83.9,,1167,957,,1593,1392,,1265,1118.0,,11674,79.0,9397,7632,878,4088,6877,86.33,88.56,2597,2359,2019,1673,28.0,318.0,1645,2003,1923.0,1863,1823,1989,5.74
49,74.325782,31.471964,2591104,8762,4469,4289,4.0,85.29,25.0,760,697,,1073,1003,1.0,1075,972.0,,7722,1040.0,6990,5695,799,1758,5155,88.11,90.92,3213,3007,1536,1513,8.0,15.0,1456,1531,1497.0,1523,1528,1532,5.66
50,74.328912,31.467372,2591201,54044,28534,25480,30.0,70.21,60.0,7620,5790,10.0,5029,4311,5.0,1431,1362.0,,51556,2488.0,41141,32032,2486,18397,26144,74.1,77.54,12099,9791,9041,8596,80.0,365.0,7606,8972,8394.0,7772,8834,8855,5.83
51,74.33125916,31.46193151,2591202,27804,15159,12628,17.0,75.81,47.06,4748,3323,3.0,3171,2479,5.0,720,692.0,,27464,340.0,21423,17266,1456,9096,14667,79.69,82.89,6697,5461,4320,4211,57.0,52.0,3963,4292,4136.0,4046,4284,4235,6.09
52,74.335921,31.4698,2591203,11791,5936,5854,1.0,78.52,100.0,1397,1239,,1284,1319,1.0,585,683.0,,6644,5147.0,9171,7407,906,2730,6268,79.27,80.03,3874,3314,1925,1863,39.0,23.0,1529,1918,1714.0,1561,1902,1920,6.11
53,74.3342677,31.46497115,2591204,10022,5175,4844,3.0,72.59,66.67,1663,1381,,789,922,1.0,142,168.0,,7500,2522.0,7705,5983,545,3119,4944,74.3,75.94,3197,2523,1600,1550,29.0,21.0,996,1587,1207.0,1238,1590,1599,6.17
54,74.33571656,31.4607706,2591301,16800,8866,7916,18.0,72.06,22.22,2087,1688,2.0,2104,1757,,517,513.0,1.0,16641,159.0,13014,10314,942,5070,9238,74.91,77.59,4552,3895,2590,2528,32.0,30.0,2088,2577,2519.0,2464,2569,2588,6.34
55,74.33968896,31.46628471,2591302,12187,6302,5881,4.0,69.25,75.0,1553,1278,2.0,1283,1212,,280,328.0,1.0,9395,2792.0,9316,7311,662,2670,6143,71.65,73.91,4196,3376,1833,1712,81.0,40.0,1297,1804,1771.0,1706,1802,1831,6.58
56,74.34121396,31.46895454,2591303,7397,3706,3685,6.0,86.88,83.33,879,754,2.0,1123,1113,2.0,489,564.0,1.0,1953,5444.0,6003,4911,608,1684,4497,88.81,90.75,2385,2172,1313,1276,29.0,8.0,1216,1305,1247.0,1250,1304,1300,5.6
57,74.34039145,31.47272637,2591304,12757,6430,6321,6.0,83.23,33.33,1504,1364,1.0,1982,1902,1.0,749,813.0,,2366,10391.0,10348,8522,1089,4393,7632,84.64,86.11,3377,3027,2229,2149,34.0,46.0,1664,2210,2172.0,2204,2196,2223,5.58
58,74.3446769,31.4670482,2591401,6557,3377,3176,4.0,84.79,25.0,866,776,,956,775,1.0,294,306.0,,6435,122.0,5021,4037,442,411,3578,87.65,90.46,2139,1776,1170,1148,3.0,19.0,1146,1143,1105.0,1144,1152,1158,5.57
59,74.34376376,31.46239299,2591402,13682,7134,6546,2.0,80.93,,1966,1627,,1813,1494,,543,557.0,,13392,290.0,10493,8314,811,2929,7301,83.83,86.49,4190,3359,2123,2079,24.0,20.0,1611,2115,2070.0,2099,2107,2117,6.29
60,74.34630827,31.4607715,2591403,17065,8867,8197,1.0,78.23,100.0,2298,1929,,1934,1708,1.0,652,595.0,,16237,828.0,13064,10212,917,4867,8772,81.78,85.11,4136,3242,2667,2591,37.0,39.0,2639,2649,2518.0,2488,2646,2655,5.96
61,74.34954778,31.45773488,2591404,4363,2207,2156,,83.79,,540,497,,581,501,,286,277.0,,4283,80.0,3393,2697,242,1370,2364,86.94,90.03,888,705,612,603,7.0,2.0,418,606,584.0,547,609,609,6.28
62,74.34814671,31.45343151,2591501,16729,8643,8081,5.0,78.74,80.0,2696,2218,3.0,1811,1706,,489,502.0,,16627,102.0,12755,9983,953,4794,8447,82.03,85.15,5199,4000,2675,2616,22.0,37.0,2484,2664,2581.0,2210,2650,2671,6.23
63,74.34669,31.452941,2591502,4132,2126,2006,,72.4,,639,474,,456,394,,82,62.0,,3821,311.0,3105,2454,227,1260,2040,77.04,81.21,1206,925,753,748,3.0,2.0,498,752,727.0,686,750,753,5.42
64,74.34702952,31.45687129,2591503,11877,6301,5576,,70.41,,1738,1291,,1373,1065,,486,423.0,,10735,1142.0,9044,7191,560,3785,6073,75.82,80.54,3544,2719,1905,1891,9.0,5.0,1257,1897,1814.0,1441,1899,1905,6.21
65,74.34317022,31.4585432,2591504,12144,6484,5653,7.0,68.85,71.43,1818,1445,2.0,1171,944,1.0,285,235.0,1.0,11300,844.0,9230,7180,648,3333,5991,72.63,75.91,3144,2322,1933,1895,18.0,20.0,1913,1928,1881.0,1323,1901,1932,6.07
