,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
51,74.28697674,31.53317693,18552,40932,21001,19930,1,85.45,,6076,5001,,4986,5129,,1676,1825,,39013,1919,31660,24936,2397,10317,21768,86.5,87.5,15431,12663,6589,6452,75,62,6400,6543,6354,6466,6543,6580,6.19
52,74.28558237,31.53250191,18553,44572,23150,21419,3,81.41,100.0,6497,5250,1.0,5415,5156,1.0,1660,1797,,44173,399,34710,27517,2764,10270,23227,82.23,82.97,15694,12424,7299,7134,100,65,6804,7280,6940,6858,7262,7153,6.05
53,74.27565516,31.52101081,18554,87411,45433,41939,39,78.06,61.54,10818,8806,12.0,10691,9792,6.0,5418,5151,,85766,1645,68486,54561,5429,22449,46682,79.81,81.43,27706,23362,14628,14174,211,243,13303,14432,13664,13891,14406,14545,5.91
54,74.26513765,31.50554219,18555,82623,42556,40031,36,83.12,44.44,9706,8142,4.0,9828,9115,8.0,6712,6182,1.0,81834,789,64218,51209,5826,18027,45757,85.16,87.11,20840,18247,13377,12799,305,273,12630,13322,12434,12684,13130,13335,6.05
55,74.27374887,31.53988963,18556,58616,30011,28602,3,86.7,33.33,8565,7109,,7058,7001,,2243,2386,1.0,57686,930,45153,35511,3370,14119,30020,88.32,89.88,18196,14297,9110,8928,68,114,8397,9061,8693,8756,9035,8630,6.31
56,74.270948,31.538508,18557,146792,77117,69646,29,61.66,55.17,18028,14177,7.0,10978,10306,5.0,2775,2810,,132609,14183,109071,84035,7114,34592,64341,63.21,64.59,27418,20210,21759,19458,1413,888,20289,21310,15898,18109,21109,21396,6.65
57,74.26005515,31.52062181,18558,85203,43579,41609,15,76.63,33.33,8651,7484,1.0,9551,9106,2.0,6290,6066,2.0,83804,1399,65346,51707,5266,23698,45679,78.24,79.81,22857,18145,13817,13111,217,489,12680,13418,12748,12168,13324,13201,6.13
58,74.262434,31.510868,18559,38223,19975,18242,6,58.3,33.33,4626,3504,1.0,2947,2551,,785,777,,37916,307,28013,21393,1578,6360,16956,61.94,65.22,5691,4185,5738,5152,466,120,5121,5684,3869,4804,5646,5715,6.61
59,74.290674,31.59986,18560,48077,25158,22904,15,73.03,33.33,6396,5149,,4723,4895,3.0,1090,1316,1.0,44155,3922,36771,28811,2518,13635,23925,72.8,72.63,15381,11719,7352,6838,196,318,7027,7091,6684,5722,7056,6868,6.38
60,74.30448535,31.58813686,18561,46765,24889,21862,14,80.47,50.0,6797,5283,2.0,5559,5600,3.0,1563,1780,,46130,635,36734,29194,2698,13244,24597,79.36,78.41,17162,14089,7633,7474,64,95,7507,7607,7277,7098,7516,7624,6.04
61,74.28684182,31.58692475,18562,60282,31371,28900,11,66.92,9.09,7947,6177,,5008,4899,,1164,1299,,58669,1613,44793,34200,2812,18389,25768,68.46,69.88,16453,11929,8770,8147,405,218,8534,8721,7492,6724,8613,8637,6.76
62,74.300835,31.582619,18563,47232,24683,22543,6,83.36,50.0,6704,5352,1.0,5389,5639,,1438,1723,,46590,642,36478,28698,2776,12348,24359,82.73,82.18,19273,15026,7171,6831,105,235,6918,7144,6895,6598,7042,7158,6.47
63,74.295317,31.584901,18564,49845,26464,23375,6,62.22,50.0,6252,4660,2.0,3558,3509,,742,890,,48663,1182,36898,28107,2224,13261,20693,62.91,63.51,10958,7858,6675,6259,240,176,6216,6640,5842,5263,6520,6649,7.23
64,74.29331952,31.57846654,18565,42417,22995,19418,4,84.62,50.0,6650,4800,1.0,5586,4774,1.0,1392,1788,,41068,1349,33935,26893,2294,13053,22827,84.6,84.6,16433,13062,6432,6035,312,85,6064,6409,5867,5672,6364,6390,6.05
65,74.28889,31.529199,18566,44451,22457,21976,18,85.81,38.89,5514,4866,4.0,5977,6038,2.0,3022,2987,,42352,2099,35253,28279,3362,13587,24433,86.96,88.13,14511,12318,7489,7283,104,102,7073,7470,7226,7366,7399,7469,5.76
66,74.29913122,31.54699895,18567,37461,19379,18075,7,84.25,57.14,4017,3343,1.0,5222,5008,3.0,3047,2849,,35734,1727,29950,24041,2758,11477,21690,85.15,86.0,11058,9615,6090,5903,123,64,5458,6075,5804,5813,6044,6081,6.05
67,74.323803,31.5533,18568,43995,23122,20866,7,86.57,71.43,5866,4572,1.0,6040,5629,4.0,3887,3640,,41227,2768,35910,29343,3059,11827,26684,87.63,88.58,15603,13436,7154,6870,222,62,6778,7112,6662,6852,7099,7125,5.89
68,74.31406908,31.5560686,18569,18193,9571,8606,16,87.1,75.0,2410,1969,3.0,2618,2373,8.0,1151,1044,1.0,17620,573,14587,11780,1304,5359,10437,87.42,87.73,5626,4780,3216,2933,242,41,3090,3206,3045,3156,3208,3211,5.51
69,74.311125,31.557576,18570,31645,17155,14477,13,86.33,61.54,4814,3675,3.0,4504,4023,2.0,1573,1379,2.0,31031,614,25417,20627,2130,10259,16888,85.74,85.29,9478,7579,5238,4333,629,276,4443,5190,4934,4549,5185,5219,5.73
